Cage,Cage_True,Time_Caging,Week,Treatment,Channel,Species,Common_Name,Vol_disp,Vol_empty_beaker,Vol_animal,Vol_water,WetWeight_g,WetWeight_kg,WW_MR_ml.h.g,MO2_ml.h,rsqrt,Run_#,Chamer size,Start,End,Run_Date,DeltaT_start,DeltaT_end,Notes,N_Dusky,Quality
3,3,End,Week 7,Saccharina,7,Mesocentrotus franciscanus,Red sea urchin,310,300,10,230,16.78,0.01678,0.003851676,0.06472119,0.25,72,630ml,9:20,9:45,15/05/2021,3314,4683,,,Bad
1,1,End,Week 7,Saccharina,4,Mesocentrotus franciscanus,Red sea urchin,550,500,50,580,72.68,0.07268,0.01140268,0.8287466,0.25,43,630ml,7:35,7:55,13/05/2021,39,71,,,Bad
2,2,End,Week 7,Saccharina,1,Pomaulax gibberosus,Red turban snail,320,300,20,220,37.84,0.03784,0.01336404,0.5056951,0.46,56,240ml,7:50,8:15,14/05/2021,3157,4615,,,Bad
6,6,End,Week 7,Macrocystis,2,Pomaulax gibberosus,Red turban snail,520,500,20,220,46.15,0.04615,0.02064748,0.9532963,0.48,76,240ml,11:05,11:30,15/05/2021,9688,11291,BAD,,Bad
4,4,End,Week 7,Macrocystis,6,Tegula pulligo,Dusky turban snail,33,30,3,237,9.44,0.00944,0.02621678,0.2474864,0.55,46,240ml,9:10,9:55,13/05/2021,136,192,,3,Bad
1,1,End,Week 7,Saccharina,2,Tegula pulligo,Dusky turban snail,31.5,30,1.5,238.5,5.22,0.00522,0.04294427,0.259498,0.6,46,240ml,9:10,9:55,13/05/2021,136,192,,3,Bad
5,5,End,Week 7,Macrocystis,2,Mesocentrotus franciscanus,Red sea urchin,315,300,15,225,16.67,0.01667,0.000731809,0.01219925,0.61,62,240ml,11:30,12:15,14/05/2021,12793,15597,Only 1% drop…,,Bad
1,1,Start,Week 2,Saccharina,4,Strongylocentrotus purpuratus,Purple sea urchin,600,500,100,530,123.59,0.12359,0.006419622,0.793401,0.83,1,630ml,7:18,7:50,08/04/2021,0,33,,,Bad
4,4,End,Week 7,Macrocystis,7,Pomaulax gibberosus,Red turban snail,310,300,10,230,19.04,0.01904,0.0258854,0.492858,0.62,49,?,10:35,11:07,13/05/2021,222,254,,,Bad
8,8,Start,Week 2,Unfed,9,Mesocentrotus franciscanus,Red sea urchin,510,500,10,230,13.24,0.01324,0.01421698,0.1882328,0.72,27,240ml,18:10,19:00,09/04/2021,643,702,Used D1Channel10 for background resp (broken sensor),,
8,8,Start,Week 2,Unfed,2,Pomaulax gibberosus,Red turban snail,320,300,20,220,23.23,0.02323,0.1078221,2.855939,0.96,24,240ml,15:20,15:40,09/04/2021,473,494,Used D1Channel10 for background resp (broken sensor),,
6,6,End,Week 7,Macrocystis,5,Mesocentrotus franciscanus,Red sea urchin,320,300,20,220,23.41,0.02341,0.02257934,0.5287183,0.76,77,240ml,11:41,12:15,15/05/2021,11291,13714,,,Bad
