Cage_Number,Common_Name,Species_Name,Treatment,LOE_time,LOE_min,LOE_sec
Cage 1,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,4:01,0:04:01,241
Cage 1,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,5:29,0:05:29,329
Cage 1,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,2:01,0:02:01,121
Cage 4,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,0:43,0:00:43,43
Cage 4,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,3:01,0:03:01,181
Cage 4,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:06,0:02:06,126
Cage 1,Red sea urchin,Mesocentrotus franciscanus,Saccharina,5:44,0:05:44,344
Cage 1,Red sea urchin,Mesocentrotus franciscanus,Saccharina,4:42,0:04:42,282
Cage 1,Red sea urchin,Mesocentrotus franciscanus,Saccharina,6:30,0:06:30,390
Cage 4,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,5:57,0:05:57,357
Cage 4,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,7:08,0:07:08,428
Cage 4,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,3:47,0:03:47,227
Cage 1,Red Turban snail,Pomaulax gibberosus,Saccharina,3:43,0:03:43,223
Cage 1,Red Turban snail,Pomaulax gibberosus,Saccharina,1:23,0:01:23,83
Cage 1,Red Turban snail,Pomaulax gibberosus,Saccharina,3:00,0:03:00,180
Cage 4,Red Turban snail,Pomaulax gibberosus,Macrocystis,1:25,0:01:25,85
Cage 4,Red Turban snail,Pomaulax gibberosus,Macrocystis,0:35,0:00:35,35
Cage 4,Red Turban snail,Pomaulax gibberosus,Macrocystis,0:36,0:00:36,36
Cage 1,Dusky Turban snail,Tegula pulligo,Saccharina,1:36,0:01:36,96
Cage 1,Dusky Turban snail,Tegula pulligo,Saccharina,0:52,0:00:52,52
Cage 1,Dusky Turban snail,Tegula pulligo,Saccharina,0:43,0:00:43,43
Cage 4,Dusky Turban snail,Tegula pulligo,Macrocystis,1:05,0:01:05,65
Cage 4,Dusky Turban snail,Tegula pulligo,Macrocystis,1:44,0:01:44,104
Cage 4,Dusky Turban snail,Tegula pulligo,Macrocystis,1:15,0:01:15,75
Cage 7,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,3:20,0:03:20,200
Cage 7,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,1:48,0:01:48,108
Cage 7,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,2:17,0:02:17,137
Cage 7,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:58,0:01:58,118
Cage 7,Red sea urchin,Mesocentrotus franciscanus,Unfed,8:16,0:08:16,496
Cage 7,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:42,0:01:42,102
Cage 7,Red Turban snail,Pomaulax gibberosus,Unfed,0:27,0:00:27,27
Cage 7,Red Turban snail,Pomaulax gibberosus,Unfed,0:16,0:00:16,16
Cage 7,Red Turban snail,Pomaulax gibberosus,Unfed,0:18,0:00:18,18
Cage 7,Dusky Turban snail,Tegula pulligo,Unfed,2:31,0:02:31,151
Cage 7,Dusky Turban snail,Tegula pulligo,Unfed,0:52,0:00:52,52
Cage 7,Dusky Turban snail,Tegula pulligo,Unfed,1:10,0:01:10,70
Cage 1,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,3:22,0:03:22,202
Cage 1,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,2:43,0:02:43,163
Cage 1,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,3:19,0:03:19,199
Cage 4,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,1:10,0:01:10,70
Cage 4,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:42,0:02:42,162
Cage 4,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,1:45,0:01:45,105
Cage 7,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,0:29,0:00:29,29
Cage 7,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,0:44,0:00:44,44
Cage 7,Purple sea urchin,Strongylocentrotus purpuratus,Unfed,5:19,0:05:19,319
Cage 1,Red sea urchin,Mesocentrotus franciscanus,Saccharina,3:32,0:03:32,212
Cage 1,Red sea urchin,Mesocentrotus franciscanus,Saccharina,3:24,0:03:24,204
Cage 1,Red sea urchin,Mesocentrotus franciscanus,Saccharina,3:04,0:03:04,184
Cage 4,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,1:30,0:01:30,90
Cage 4,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,2:31,0:02:31,151
Cage 4,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,10:00,0:10:00,600
Cage 7,Red sea urchin,Mesocentrotus franciscanus,Unfed,0:29,0:00:29,29
Cage 7,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:27,0:01:27,87
Cage 7,Red sea urchin,Mesocentrotus franciscanus,Unfed,1:18,0:01:18,78
Cage 1,Red Turban snail,Pomaulax gibberosus,Saccharina,1:56,0:01:56,116
Cage 1,Red Turban snail,Pomaulax gibberosus,Saccharina,1:22,0:01:22,82
Cage 1,Red Turban snail,Pomaulax gibberosus,Saccharina,1:40,0:01:40,100
Cage 4,Red Turban snail,Pomaulax gibberosus,Macrocystis,2:19,0:02:19,139
Cage 4,Red Turban snail,Pomaulax gibberosus,Macrocystis,2:26,0:02:26,146
Cage 4,Red Turban snail,Pomaulax gibberosus,Macrocystis,2:53,0:02:53,173
Cage 7,Red Turban snail,Pomaulax gibberosus,Unfed,3:55,0:03:55,235
Cage 7,Red Turban snail,Pomaulax gibberosus,Unfed,7:36,0:07:36,456
Cage 7,Red Turban snail,Pomaulax gibberosus,Unfed,1:46,0:01:46,106
Cage 1,Dusky Turban snail,Tegula pulligo,Saccharina,1:26,0:01:26,86
Cage 1,Dusky Turban snail,Tegula pulligo,Saccharina,1:23,0:01:23,83
Cage 1,Dusky Turban snail,Tegula pulligo,Saccharina,0:58,0:00:58,58
Cage 4,Dusky Turban snail,Tegula pulligo,Macrocystis,0:52,0:00:52,52
Cage 4,Dusky Turban snail,Tegula pulligo,Macrocystis,1:09,0:01:09,69
Cage 4,Dusky Turban snail,Tegula pulligo,Macrocystis,1:06,0:01:06,66
Cage 7,Dusky Turban snail,Tegula pulligo,Unfed,0:55,0:00:55,55
Cage 7,Dusky Turban snail,Tegula pulligo,Unfed,0:36,0:00:36,36
Cage 7,Dusky Turban snail,Tegula pulligo,Unfed,1:36,0:01:36,96
Cage 2,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,1:25,0:01:25,85
Cage 2,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,3:34,0:03:34,214
Cage 2,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,2:43,0:02:43,163
Cage 2,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,4:08,0:04:08,248
Cage 2,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,0:45,0:00:45,45
Cage 2,Purple sea urchin,Strongylocentrotus purpuratus,Saccharina,5:18,0:05:18,318
Cage 5,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:10,0:02:10,130
Cage 5,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,3:20,0:03:20,200
Cage 5,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:57,0:02:57,177
Cage 5,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:07,0:02:07,127
Cage 5,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,1:35,0:01:35,95
Cage 5,Purple sea urchin,Strongylocentrotus purpuratus,Macrocystis,2:13,0:02:13,133
Cage 2,Red sea urchin,Mesocentrotus franciscanus,Saccharina,1:47,0:01:47,107
Cage 2,Red sea urchin,Mesocentrotus franciscanus,Saccharina,2:30,0:02:30,150
Cage 2,Red sea urchin,Mesocentrotus franciscanus,Saccharina,2:22,0:02:22,142
Cage 2,Red sea urchin,Mesocentrotus franciscanus,Saccharina,1:40,0:01:40,100
Cage 2,Red sea urchin,Mesocentrotus franciscanus,Saccharina,2:26,0:02:26,146
Cage 2,Red sea urchin,Mesocentrotus franciscanus,Saccharina,1:43,0:01:43,103
Cage 5,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,1:41,0:01:41,101
Cage 5,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,1:31,0:01:31,91
Cage 5,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,3:08,0:03:08,188
Cage 5,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,3:50,0:03:50,230
Cage 5,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,1:42,0:01:42,102
Cage 5,Red sea urchin,Mesocentrotus franciscanus,Macrocystis,2:30,0:02:30,150
Cage 2,Red Turban snail,Pomaulax gibberosus,Saccharina,6:03,0:06:03,363
