------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version,2.4
EnvLogger Viewer version,3.9
downloading device type, android
device, SM-G930F
downloading mode, manual
------------------------------,--------------------
serial number, 0445 8800 1115 09
custom name, A3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution,0.1
samples,2844
time diff [logger-smartphone](sec),113
lat,48.83467
long,-125.135659
accuracy (m),24
------------------------------,--------------------
time,temp
2021-03-19 18:48,6.4
2021-03-19 19:18,6.1
2021-03-19 19:48,6
2021-03-19 20:18,6.6
2021-03-19 20:48,4
2021-03-19 21:18,8.6
2021-03-19 21:48,8.5
2021-03-19 22:18,8.6
2021-03-19 22:48,8.5
2021-03-19 23:18,8.6
2021-03-19 23:48,8.5
2021-03-20 0:18,8.5
2021-03-20 0:48,8.6
2021-03-20 1:18,8.5
2021-03-20 1:48,8.5
2021-03-20 2:18,8.5
2021-03-20 2:48,8.6
2021-03-20 3:18,8.6
2021-03-20 3:48,8.5
2021-03-20 4:18,8.6
2021-03-20 4:48,8.6
2021-03-20 5:18,8.6
2021-03-20 5:48,8.5
2021-03-20 6:18,8.6
2021-03-20 6:48,8.6
2021-03-20 7:18,8.6
2021-03-20 7:48,8.5
2021-03-20 8:18,8.4
2021-03-20 8:48,8.5
2021-03-20 9:18,8.5
2021-03-20 9:48,8.5
2021-03-20 10:18,8.6
2021-03-20 10:48,8.6
2021-03-20 11:18,8.6
2021-03-20 11:48,8.5
2021-03-20 12:18,8.6
2021-03-20 12:48,8.5
2021-03-20 13:18,8.6
2021-03-20 13:48,8.6
2021-03-20 14:18,8.6
2021-03-20 14:48,8.5
2021-03-20 15:18,8.6
2021-03-20 15:48,8.6
2021-03-20 16:18,8.6
2021-03-20 16:48,8.6
2021-03-20 17:18,8.6
2021-03-20 17:48,8.6
2021-03-20 18:18,8.6
2021-03-20 18:48,8.6
2021-03-20 19:18,8.6
2021-03-20 19:48,8.6
2021-03-20 20:18,8.6
2021-03-20 20:48,8.6
2021-03-20 21:18,8.6
2021-03-20 21:48,8.6
2021-03-20 22:18,8.5
2021-03-20 22:48,8.6
2021-03-20 23:18,8.6
2021-03-20 23:48,8.7
2021-03-21 0:18,8.7
2021-03-21 0:48,8.7
2021-03-21 1:18,8.7
2021-03-21 1:48,8.7
2021-03-21 2:18,8.8
2021-03-21 2:48,8.7
2021-03-21 3:18,8.7
2021-03-21 3:48,8.7
2021-03-21 4:18,8.7
2021-03-21 4:48,8.6
2021-03-21 5:18,8.7
2021-03-21 5:48,8.6
2021-03-21 6:18,8.6
2021-03-21 6:48,8.6
2021-03-21 7:18,8.6
2021-03-21 7:48,8.5
2021-03-21 8:18,8.6
